院校名,类别,分数
上海商学院,物理类|本科批|普通类,最低分/最低位次：543/79447
天津商业大学,物理类|本科批|普通类,最低分/最低位次：527/101702
海南热带海洋学院,物理类|本科批|普通类,最低分/最低位次：503/138533
琼台师范学院,物理类|本科批|普通类,最低分/最低位次：503/138545
南昌大学,物理类|本科批|普通类,最低分/最低位次：559/59564
浙江理工大学,物理类|本科批|普通类,最低分/最低位次：559/59476
江西师范大学,物理类|本科批|普通类,最低分/最低位次：559/59289
天津师范大学,物理类|本科批|普通类,最低分/最低位次：559/59863
河北师范大学,物理类|本科批|普通类,最低分/最低位次：559/59868
南通大学,物理类|本科批|普通类,最低分/最低位次：559/59590
湖北中医药大学,物理类|本科批|普通类,最低分/最低位次：559/60078
浙江传媒学院,物理类|本科批|普通类,最低分/最低位次：559/60127
广州大学,物理类|本科批|普通类,最低分/最低位次：558/61445
广东工业大学,物理类|本科批|普通类,最低分/最低位次：558/61021
南京林业大学,物理类|本科批|普通类,最低分/最低位次：558/61479
内蒙古大学,物理类|本科批|普通类,最低分/最低位次：558/61236
内蒙古大学,物理类|本科批|普通类,最低分/最低位次：558/60735
安徽医科大学,物理类|本科批|普通类,最低分/最低位次：558/60407
武汉工程大学,物理类|本科批|普通类,最低分/最低位次：558/61476
浙江中医药大学,物理类|本科批|普通类,最低分/最低位次：558/60419
集美大学,物理类|本科批|普通类,最低分/最低位次：558/60659
海南师范大学,物理类|本科批|普通类,最低分/最低位次：558/60537
海南师范大学,物理类|本科批|普通类,最低分/最低位次：558/60436
东莞理工学院,物理类|本科批|普通类,最低分/最低位次：558/60746
西安石油大学,物理类|本科批|普通类,最低分/最低位次：558/60550
西安外国语大学,物理类|本科批|普通类,最低分/最低位次：558/60672
贵州医科大学,物理类|本科批|普通类,最低分/最低位次：558/61414
杭州医学院,物理类|本科批|普通类,最低分/最低位次：558/60944
深圳技术大学,物理类|本科批|普通类,最低分/最低位次：558/61160
福建师范大学,物理类|本科批|普通类,最低分/最低位次：557/61874
广州大学,物理类|本科批|普通类,最低分/最低位次：557/61652
山西大学,物理类|本科批|普通类,最低分/最低位次：557/61765
广东外语外贸大学,物理类|本科批|普通类,最低分/最低位次：557/62243
上海海事大学,物理类|本科批|普通类,最低分/最低位次：557/61798
河北师范大学,物理类|本科批|普通类,最低分/最低位次：557/62472
桂林电子科技大学,物理类|本科批|普通类,最低分/最低位次：557/61751
河南财经政法大学,物理类|本科批|普通类,最低分/最低位次：557/62570
上海立信会计金融学院,物理类|本科批|普通类,最低分/最低位次：557/62446
贵州中医药大学,物理类|本科批|普通类,最低分/最低位次：557/62303
深圳技术大学,物理类|本科批|普通类,最低分/最低位次：557/61641
燕山大学,物理类|本科批|普通类,最低分/最低位次：556/63736
山西大学,物理类|本科批|普通类,最低分/最低位次：556/63322
长沙理工大学,物理类|本科批|普通类,最低分/最低位次：556/62821
汕头大学,物理类|本科批|普通类,最低分/最低位次：556/63541
上海应用技术大学,物理类|本科批|普通类,最低分/最低位次：556/62674
江西中医药大学,物理类|本科批|普通类,最低分/最低位次：556/63596
大连外国语大学,物理类|本科批|普通类,最低分/最低位次：556/63664
江西科技师范大学,物理类|本科批|普通类,最低分/最低位次：556/63763
天津外国语大学,物理类|本科批|普通类,最低分/最低位次：556/63327
天津外国语大学,物理类|本科批|普通类,最低分/最低位次：556/62879
山东科技大学,物理类|本科批|普通类,最低分/最低位次：555/64814
浙江工商大学,物理类|本科批|普通类,最低分/最低位次：555/64266
河南科技大学,物理类|本科批|普通类,最低分/最低位次：555/64651
广东外语外贸大学,物理类|本科批|普通类,最低分/最低位次：555/63950
河北师范大学,物理类|本科批|普通类,最低分/最低位次：555/63915
湖南农业大学,物理类|本科批|普通类,最低分/最低位次：555/64223
北京工商大学,物理类|本科批|普通类,最低分/最低位次：555/64202
山西医科大学,物理类|本科批|普通类,最低分/最低位次：555/64185
青海大学,物理类|本科批|普通类,最低分/最低位次：555/64829
石家庄铁道大学,物理类|本科批|普通类,最低分/最低位次：555/64849
四川师范大学,物理类|本科批|普通类,最低分/最低位次：555/63992
成都中医药大学,物理类|本科批|普通类,最低分/最低位次：555/63831
海南师范大学,物理类|本科批|普通类,最低分/最低位次：555/64636
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：555/64170
湖北师范大学,物理类|本科批|普通类,最低分/最低位次：555/64647
遵义医科大学,物理类|本科批|普通类,最低分/最低位次：555/64975
中国石油大学（北京）克拉玛依校区,物理类|本科批|普通类,最低分/最低位次：555/64937
广东工业大学,物理类|本科批|普通类,最低分/最低位次：554/65738
武汉科技大学,物理类|本科批|普通类,最低分/最低位次：554/65276
长沙理工大学,物理类|本科批|普通类,最低分/最低位次：554/65729
汕头大学,物理类|本科批|普通类,最低分/最低位次：554/65052
汕头大学,物理类|本科批|普通类,最低分/最低位次：554/65510
济南大学,物理类|本科批|普通类,最低分/最低位次：554/65249
广西师范大学,物理类|本科批|普通类,最低分/最低位次：554/65033
湖南科技大学,物理类|本科批|普通类,最低分/最低位次：554/65199
四川师范大学,物理类|本科批|普通类,最低分/最低位次：554/66231
重庆师范大学,物理类|本科批|普通类,最低分/最低位次：554/65830
苏州科技大学,物理类|本科批|普通类,最低分/最低位次：554/66098
大连外国语大学,物理类|本科批|普通类,最低分/最低位次：554/65757
赣南师范大学,物理类|本科批|普通类,最低分/最低位次：554/65466
浙大城市学院,物理类|本科批|普通类,最低分/最低位次：554/65881
桂林医学院,物理类|本科批|普通类,最低分/最低位次：554/65916
浙江传媒学院,物理类|本科批|普通类,最低分/最低位次：554/65192
河北中医学院,物理类|本科批|普通类,最低分/最低位次：554/65093
山西中医药大学,物理类|本科批|普通类,最低分/最低位次：554/66088
福建师范大学,物理类|本科批|普通类,最低分/最低位次：553/67108
浙江师范大学,物理类|本科批|普通类,最低分/最低位次：553/66469
广东工业大学,物理类|本科批|普通类,最低分/最低位次：553/67197
长沙理工大学,物理类|本科批|普通类,最低分/最低位次：553/67388
长沙理工大学,物理类|本科批|普通类,最低分/最低位次：553/67349
江西师范大学,物理类|本科批|普通类,最低分/最低位次：553/67148
陕西科技大学,物理类|本科批|普通类,最低分/最低位次：553/66745
华侨大学,物理类|本科批|普通类,最低分/最低位次：553/67064
华侨大学,物理类|本科批|普通类,最低分/最低位次：553/67168
武汉工程大学,物理类|本科批|普通类,最低分/最低位次：553/67432
南通大学,物理类|本科批|普通类,最低分/最低位次：553/67083
重庆交通大学,物理类|本科批|普通类,最低分/最低位次：553/67052
湖南科技大学,物理类|本科批|普通类,最低分/最低位次：553/66374
哈尔滨师范大学,物理类|本科批|普通类,最低分/最低位次：553/67077
重庆理工大学,物理类|本科批|普通类,最低分/最低位次：553/67060
上海应用技术大学,物理类|本科批|普通类,最低分/最低位次：553/66941
成都医学院,物理类|本科批|普通类,最低分/最低位次：553/67496
海南医学院,物理类|本科批|普通类,最低分/最低位次：553/67503
厦门医学院,物理类|本科批|普通类,最低分/最低位次：553/66328
山东师范大学,物理类|本科批|普通类,最低分/最低位次：552/67812
青岛大学,物理类|本科批|普通类,最低分/最低位次：552/67872
青岛大学,物理类|本科批|普通类,最低分/最低位次：552/68505
青岛大学,物理类|本科批|普通类,最低分/最低位次：552/68102
湖北大学,物理类|本科批|普通类,最低分/最低位次：552/68404
长沙理工大学,物理类|本科批|普通类,最低分/最低位次：552/67714
南京中医药大学,物理类|本科批|普通类,最低分/最低位次：552/67851
湖北工业大学,物理类|本科批|普通类,最低分/最低位次：552/67666
广州中医药大学,物理类|本科批|普通类,最低分/最低位次：552/68412
南通大学,物理类|本科批|普通类,最低分/最低位次：552/67771
北京工商大学,物理类|本科批|普通类,最低分/最低位次：552/68054
西安科技大学,物理类|本科批|普通类,最低分/最低位次：552/67846
浙江海洋大学,物理类|本科批|普通类,最低分/最低位次：552/68627
四川师范大学,物理类|本科批|普通类,最低分/最低位次：552/68417
重庆师范大学,物理类|本科批|普通类,最低分/最低位次：552/67989
桂林电子科技大学,物理类|本科批|普通类,最低分/最低位次：552/68560
山东中医药大学,物理类|本科批|普通类,最低分/最低位次：552/68679
南京工程学院,物理类|本科批|普通类,最低分/最低位次：552/67939
赣南医学院,物理类|本科批|普通类,最低分/最低位次：552/68203
内蒙古大学,物理类|本科批|普通类,最低分/最低位次：551/68868
内蒙古大学,物理类|本科批|普通类,最低分/最低位次：551/69620
安徽师范大学,物理类|本科批|普通类,最低分/最低位次：551/69517
华侨大学,物理类|本科批|普通类,最低分/最低位次：551/69436
江苏科技大学,物理类|本科批|普通类,最低分/最低位次：551/69878
广州中医药大学,物理类|本科批|普通类,最低分/最低位次：551/68976
新疆大学,物理类|本科批|普通类,最低分/最低位次：551/69057
新疆大学,物理类|本科批|普通类,最低分/最低位次：551/69793
上海体育学院,物理类|本科批|普通类,最低分/最低位次：551/68810
天津中医药大学,物理类|本科批|普通类,最低分/最低位次：551/69332
天津中医药大学,物理类|本科批|普通类,最低分/最低位次：551/68750
西藏大学,物理类|本科批|普通类,最低分/最低位次：551/69309
武汉轻工大学,物理类|本科批|普通类,最低分/最低位次：551/69242
南宁师范大学,物理类|本科批|普通类,最低分/最低位次：551/69962
四川美术学院,物理类|本科批|普通类,最低分/最低位次：551/69964
湖北大学,物理类|本科批|普通类,最低分/最低位次：550/70343
江西师范大学,物理类|本科批|普通类,最低分/最低位次：550/71080
济南大学,物理类|本科批|普通类,最低分/最低位次：550/70569
江苏科技大学,物理类|本科批|普通类,最低分/最低位次：550/70371
浙江农林大学,物理类|本科批|普通类,最低分/最低位次：550/70424
广州中医药大学,物理类|本科批|普通类,最低分/最低位次：550/70843
浙江中医药大学,物理类|本科批|普通类,最低分/最低位次：550/70957
新疆大学,物理类|本科批|普通类,最低分/最低位次：550/70418
江西理工大学,物理类|本科批|普通类,最低分/最低位次：550/70675
重庆交通大学,物理类|本科批|普通类,最低分/最低位次：550/70797
哈尔滨师范大学,物理类|本科批|普通类,最低分/最低位次：550/71068
沈阳药科大学,物理类|本科批|普通类,最低分/最低位次：550/71070
中南林业科技大学,物理类|本科批|普通类,最低分/最低位次：550/70606
苏州科技大学,物理类|本科批|普通类,最低分/最低位次：550/70473
西南医科大学,物理类|本科批|普通类,最低分/最低位次：550/70816
新乡医学院,物理类|本科批|普通类,最低分/最低位次：550/70274
湖南中医药大学,物理类|本科批|普通类,最低分/最低位次：550/70022
安徽中医药大学,物理类|本科批|普通类,最低分/最低位次：550/70759
大连外国语大学,物理类|本科批|普通类,最低分/最低位次：550/71071
南宁师范大学,物理类|本科批|普通类,最低分/最低位次：550/70478
川北医学院,物理类|本科批|普通类,最低分/最低位次：550/70401
承德医学院,物理类|本科批|普通类,最低分/最低位次：550/70907
福建师范大学,物理类|本科批|普通类,最低分/最低位次：549/71969
江西师范大学,物理类|本科批|普通类,最低分/最低位次：549/71696
陕西科技大学,物理类|本科批|普通类,最低分/最低位次：549/71676
湖北工业大学,物理类|本科批|普通类,最低分/最低位次：549/71484
济南大学,物理类|本科批|普通类,最低分/最低位次：549/71823
西北师范大学,物理类|本科批|普通类,最低分/最低位次：549/72443
石河子大学,物理类|本科批|普通类,最低分/最低位次：549/71690
江西理工大学,物理类|本科批|普通类,最低分/最低位次：549/71244
集美大学,物理类|本科批|普通类,最低分/最低位次：549/71597
青海大学,物理类|本科批|普通类,最低分/最低位次：549/71544
石家庄铁道大学,物理类|本科批|普通类,最低分/最低位次：549/71361
天津科技大学,物理类|本科批|普通类,最低分/最低位次：549/71395
河南中医药大学,物理类|本科批|普通类,最低分/最低位次：549/71809
海南师范大学,物理类|本科批|普通类,最低分/最低位次：549/71951
成都大学,物理类|本科批|普通类,最低分/最低位次：549/71525
广东财经大学,物理类|本科批|普通类,最低分/最低位次：549/72056
赣南师范大学,物理类|本科批|普通类,最低分/最低位次：549/71620
赣南师范大学,物理类|本科批|普通类,最低分/最低位次：549/71477
沈阳医学院,物理类|本科批|普通类,最低分/最低位次：549/72260
泉州师范学院,物理类|本科批|普通类,最低分/最低位次：549/71816
湖南工商大学,物理类|本科批|普通类,最低分/最低位次：549/71800
广东第二师范学院,物理类|本科批|普通类,最低分/最低位次：549/71732
星海音乐学院,物理类|本科批|普通类,最低分/最低位次：549/71601
广东工业大学,物理类|本科批|普通类,最低分/最低位次：548/73297
昆明理工大学,物理类|本科批|普通类,最低分/最低位次：548/72682
济南大学,物理类|本科批|普通类,最低分/最低位次：548/73388
安徽农业大学,物理类|本科批|普通类,最低分/最低位次：548/73666
浙江中医药大学,物理类|本科批|普通类,最低分/最低位次：548/73309
新疆大学,物理类|本科批|普通类,最低分/最低位次：548/72576
湖南农业大学,物理类|本科批|普通类,最低分/最低位次：548/73358
西安科技大学,物理类|本科批|普通类,最低分/最低位次：548/73474
西安科技大学,物理类|本科批|普通类,最低分/最低位次：548/73761
集美大学,物理类|本科批|普通类,最低分/最低位次：548/72564
南华大学,物理类|本科批|普通类,最低分/最低位次：548/72580
上海工程技术大学,物理类|本科批|普通类,最低分/最低位次：548/72920
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：548/72983
成都大学,物理类|本科批|普通类,最低分/最低位次：548/73643
北京物资学院,物理类|本科批|普通类,最低分/最低位次：548/72994
北京物资学院,物理类|本科批|普通类,最低分/最低位次：548/72603
湖北科技学院,物理类|本科批|普通类,最低分/最低位次：548/73386
右江民族医学院,物理类|本科批|普通类,最低分/最低位次：548/73287
河北医科大学,物理类|本科批|普通类,最低分/最低位次：547/74707
青岛大学,物理类|本科批|普通类,最低分/最低位次：547/74103
西北师范大学,物理类|本科批|普通类,最低分/最低位次：547/74803
湖南农业大学,物理类|本科批|普通类,最低分/最低位次：547/74361
湖南农业大学,物理类|本科批|普通类,最低分/最低位次：547/74273
河南理工大学,物理类|本科批|普通类,最低分/最低位次：547/74609
山东财经大学,物理类|本科批|普通类,最低分/最低位次：547/74973
重庆交通大学,物理类|本科批|普通类,最低分/最低位次：547/74066
重庆师范大学,物理类|本科批|普通类,最低分/最低位次：547/74604
武汉轻工大学,物理类|本科批|普通类,最低分/最低位次：547/74825
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：547/74363
宁夏医科大学,物理类|本科批|普通类,最低分/最低位次：547/73873
北京联合大学,物理类|本科批|普通类,最低分/最低位次：547/74746
大连外国语大学,物理类|本科批|普通类,最低分/最低位次：547/74136
厦门理工学院,物理类|本科批|普通类,最低分/最低位次：547/73862
西华大学,物理类|本科批|普通类,最低分/最低位次：547/74822
锦州医科大学,物理类|本科批|普通类,最低分/最低位次：547/74829
湖北医药学院,物理类|本科批|普通类,最低分/最低位次：547/74579
湖北师范大学,物理类|本科批|普通类,最低分/最低位次：547/73864
井冈山大学,物理类|本科批|普通类,最低分/最低位次：547/74134
上海第二工业大学,物理类|本科批|普通类,最低分/最低位次：547/74578
山东师范大学,物理类|本科批|普通类,最低分/最低位次：546/75308
河北医科大学,物理类|本科批|普通类,最低分/最低位次：546/76053
江西财经大学,物理类|本科批|普通类,最低分/最低位次：546/75439
江苏科技大学,物理类|本科批|普通类,最低分/最低位次：546/75902
浙江农林大学,物理类|本科批|普通类,最低分/最低位次：546/75817
常州大学,物理类|本科批|普通类,最低分/最低位次：546/75696
青岛科技大学,物理类|本科批|普通类,最低分/最低位次：546/75944
宁夏大学,物理类|本科批|普通类,最低分/最低位次：546/75832
江西理工大学,物理类|本科批|普通类,最低分/最低位次：546/76187
南昌航空大学,物理类|本科批|普通类,最低分/最低位次：546/75881
青海大学,物理类|本科批|普通类,最低分/最低位次：546/76341
浙江海洋大学,物理类|本科批|普通类,最低分/最低位次：546/75414
湖南科技大学,物理类|本科批|普通类,最低分/最低位次：546/76139
中南民族大学,物理类|本科批|普通类,最低分/最低位次：546/76290
华北水利水电大学,物理类|本科批|普通类,最低分/最低位次：546/75726
华北水利水电大学,物理类|本科批|普通类,最低分/最低位次：546/75828
西安工程大学,物理类|本科批|普通类,最低分/最低位次：546/76014
中国民航大学,物理类|本科批|普通类,最低分/最低位次：546/76079
重庆工商大学,物理类|本科批|普通类,最低分/最低位次：546/75918
济宁医学院,物理类|本科批|普通类,最低分/最低位次：546/75171
福建中医药大学,物理类|本科批|普通类,最低分/最低位次：546/75735
陕西中医药大学,物理类|本科批|普通类,最低分/最低位次：546/76260
九江学院,物理类|本科批|普通类,最低分/最低位次：546/75062
南昌医学院,物理类|本科批|普通类,最低分/最低位次：546/75892
安徽师范大学,物理类|本科批|普通类,最低分/最低位次：545/77111
河南师范大学,物理类|本科批|普通类,最低分/最低位次：545/77152
昆明理工大学,物理类|本科批|普通类,最低分/最低位次：545/77004
浙江农林大学,物理类|本科批|普通类,最低分/最低位次：545/76637
青岛科技大学,物理类|本科批|普通类,最低分/最低位次：545/77193
广西医科大学,物理类|本科批|普通类,最低分/最低位次：545/76974
南通大学,物理类|本科批|普通类,最低分/最低位次：545/77019
江西理工大学,物理类|本科批|普通类,最低分/最低位次：545/77064
西藏大学,物理类|本科批|普通类,最低分/最低位次：545/77383
湖南科技大学,物理类|本科批|普通类,最低分/最低位次：545/77200
天津理工大学,物理类|本科批|普通类,最低分/最低位次：545/77458
中南民族大学,物理类|本科批|普通类,最低分/最低位次：545/77638
西南科技大学,物理类|本科批|普通类,最低分/最低位次：545/77296
武汉纺织大学,物理类|本科批|普通类,最低分/最低位次：545/77531
华东交通大学,物理类|本科批|普通类,最低分/最低位次：545/76479
重庆理工大学,物理类|本科批|普通类,最低分/最低位次：545/76951
成都大学,物理类|本科批|普通类,最低分/最低位次：545/76879
新疆医科大学,物理类|本科批|普通类,最低分/最低位次：545/76646
湖南工业大学,物理类|本科批|普通类,最低分/最低位次：545/76810
重庆工商大学,物理类|本科批|普通类,最低分/最低位次：545/77137
重庆工商大学,物理类|本科批|普通类,最低分/最低位次：545/76677
大理大学,物理类|本科批|普通类,最低分/最低位次：545/77275
湖南工商大学,物理类|本科批|普通类,最低分/最低位次：545/76640
陕西中医药大学,物理类|本科批|普通类,最低分/最低位次：545/77567
广东第二师范学院,物理类|本科批|普通类,最低分/最低位次：545/76856
河北医科大学,物理类|本科批|普通类,最低分/最低位次：544/77957
济南大学,物理类|本科批|普通类,最低分/最低位次：544/78829
石河子大学,物理类|本科批|普通类,最低分/最低位次：544/78359
石河子大学,物理类|本科批|普通类,最低分/最低位次：544/78132
湖南农业大学,物理类|本科批|普通类,最低分/最低位次：544/77667
南通大学,物理类|本科批|普通类,最低分/最低位次：544/78802
长江大学,物理类|本科批|普通类,最低分/最低位次：544/77694
山东理工大学,物理类|本科批|普通类,最低分/最低位次：544/78027
天津科技大学,物理类|本科批|普通类,最低分/最低位次：544/77711
青岛理工大学,物理类|本科批|普通类,最低分/最低位次：544/78016
东北电力大学,物理类|本科批|普通类,最低分/最低位次：544/77695
东北电力大学,物理类|本科批|普通类,最低分/最低位次：544/78535
西安石油大学,物理类|本科批|普通类,最低分/最低位次：544/78854
西安石油大学,物理类|本科批|普通类,最低分/最低位次：544/78746
大连大学,物理类|本科批|普通类,最低分/最低位次：544/78790
辽宁中医药大学,物理类|本科批|普通类,最低分/最低位次：544/77735
中国民航大学,物理类|本科批|普通类,最低分/最低位次：544/78542
中国民航大学,物理类|本科批|普通类,最低分/最低位次：544/78172
西南民族大学,物理类|本科批|普通类,最低分/最低位次：544/78188
衡阳师范学院,物理类|本科批|普通类,最低分/最低位次：544/78152
韶关学院,物理类|本科批|普通类,最低分/最低位次：544/78751
长治医学院,物理类|本科批|普通类,最低分/最低位次：544/78068
济南大学,物理类|本科批|普通类,最低分/最低位次：543/79112
河南科技大学,物理类|本科批|普通类,最低分/最低位次：543/79194
青岛科技大学,物理类|本科批|普通类,最低分/最低位次：543/79147
湖南农业大学,物理类|本科批|普通类,最低分/最低位次：543/79444
天津中医药大学,物理类|本科批|普通类,最低分/最低位次：543/79111
青海大学,物理类|本科批|普通类,最低分/最低位次：543/79450
石家庄铁道大学,物理类|本科批|普通类,最低分/最低位次：543/79320
浙江海洋大学,物理类|本科批|普通类,最低分/最低位次：543/79480
重庆交通大学,物理类|本科提前批|普通类,最低分/最低位次：543/79001
湖南科技大学,物理类|本科批|普通类,最低分/最低位次：543/79404
湖南科技大学,物理类|本科批|普通类,最低分/最低位次：543/80045
天津理工大学,物理类|本科批|普通类,最低分/最低位次：543/79113
沈阳药科大学,物理类|本科批|普通类,最低分/最低位次：543/79780
中南林业科技大学,物理类|本科批|普通类,最低分/最低位次：543/79591
沈阳航空航天大学,物理类|本科批|普通类,最低分/最低位次：543/79003
西安石油大学,物理类|本科批|普通类,最低分/最低位次：543/79549
湖北中医药大学,物理类|本科批|普通类,最低分/最低位次：543/79545
江苏理工学院,物理类|本科批|普通类,最低分/最低位次：543/79933
西南林业大学,物理类|本科批|普通类,最低分/最低位次：543/79835
广西民族大学,物理类|本科批|普通类,最低分/最低位次：543/79254
广西中医药大学,物理类|本科批|普通类,最低分/最低位次：543/79306
广西中医药大学,物理类|本科批|普通类,最低分/最低位次：543/80166
丽水学院,物理类|本科批|普通类,最低分/最低位次：543/79221
陇东学院,物理类|本科批|普通类,最低分/最低位次：543/79841
北京服装学院,物理类|本科批|普通类,最低分/最低位次：543/79627
广州美术学院,物理类|本科批|普通类,最低分/最低位次：543/79997
安徽农业大学,物理类|本科批|普通类,最低分/最低位次：542/81179
安徽工业大学,物理类|本科批|普通类,最低分/最低位次：542/81225
浙江海洋大学,物理类|本科批|普通类,最低分/最低位次：542/80813
桂林电子科技大学,物理类|本科批|普通类,最低分/最低位次：542/81101
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：542/81183
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：542/80624
大连交通大学,物理类|本科批|普通类,最低分/最低位次：542/81242
广东财经大学,物理类|本科批|普通类,最低分/最低位次：542/80764
华北理工大学,物理类|本科批|普通类,最低分/最低位次：542/81425
西安工业大学,物理类|本科批|普通类,最低分/最低位次：542/80963
赣南师范大学,物理类|本科批|普通类,最低分/最低位次：542/80864
北京石油化工学院,物理类|本科批|普通类,最低分/最低位次：542/80578
北京石油化工学院,物理类|本科批|普通类,最低分/最低位次：542/81411
甘肃政法大学,物理类|本科批|普通类,最低分/最低位次：542/80498
湖北理工学院,物理类|本科批|普通类,最低分/最低位次：542/80359
广东第二师范学院,物理类|本科批|普通类,最低分/最低位次：542/80290
广州美术学院,物理类|本科批|普通类,最低分/最低位次：542/80404
四川音乐学院,物理类|本科批|普通类,最低分/最低位次：542/80927
福建农林大学,物理类|本科批|普通类,最低分/最低位次：541/82000
济南大学,物理类|本科批|普通类,最低分/最低位次：541/81479
长江大学,物理类|本科批|普通类,最低分/最低位次：541/82671
中南民族大学,物理类|本科批|普通类,最低分/最低位次：541/81987
华东交通大学,物理类|本科批|普通类,最低分/最低位次：541/81491
